category,name,quantity,date_of_purchase
Miscellaneous,Amazon Basics Wire Stripper Set,1.0,01.10.2024
Miscellaneous,Amazon Basics Screwdriver Set (58‑piece),1.0,01.10.2024
Miscellaneous,Alkon Plastic Organizer (60‑drawer unit),1.0,29.09.2024
Miscellaneous,Silicone Soldering Mat (17.7″ × 11.8″),2.0,29.09.24
Miscellaneous,Tommy Plastic Storage Box (64‑drawer wall box),1.0,29.09.24
Miscellaneous,"Acrylic Wall Sign Holders (Bigimall 2‑pack, 8 total)",8.0,29.09.2024
Miscellaneous,ASPA Solar DC MCB 500 V 2‑pole 40 A,2.0,29.09.24
Miscellaneous,Cleaning Brushes,6.0,21.11.2024
Miscellaneous,Tap Dispenser,1.0,21.11.2024
Miscellaneous,Glue Gun Sticks (10 pc),1.0,21.11.2025
Miscellaneous,"Storage Boxes from D‑Mart (plastic, container, basket etc.)",8.0,21.11.2026
Miscellaneous,PVC Table Mats,5.0,22.11.2024
Miscellaneous,DC Pumps,2.0,20.11.2024
Miscellaneous,DC Pump Pipe,1.0,20.11.2024
Miscellaneous,Acetone,1.0,20.11.2024
